merchant_id,merchant_name,business_type,country_code,city,signup_date,plan_type,status,churn_date
b4b34a2f-af69-4e18-a2b3-36c836d894f5,Little Munich Coffee,cafe,DE,Munich,2022-10-21,free,active,
069f5527-8726-4970-8741-2ac8439e127a,Local Munich Market,market_stall,DE,Munich,2023-01-10,free,active,
0d2b3242-6c3b-4488-b1fd-58503af3f536,The Frankfurt Closet,clothing_store,DE,Frankfurt,2023-09-03,free,active,
53c32892-0477-40d2-9675-4b1a64060c22,Style Closet,clothing_store,DE,Berlin,2023-03-12,premium,active,
09e58553-7787-4bec-a0ae-54c45093f4d5,Corner Café,cafe,DE,Stuttgart,2023-05-19,free,active,
e0f2ef67-308c-4685-b832-9bb99ec7037d,Leipzig Market,market_stall,DE,Leipzig,2023-03-28,free,active,
bfc62ab1-cb89-4c95-b9e1-577ff6d21c94,Stuttgart Market,market_stall,DE,Stuttgart,2023-01-20,free,active,
950087f9-ac19-488a-92e9-2506f2067712,Pixel Portraits,photography_studio,DE,Frankfurt,2024-03-12,free,active,
9e4ae8cb-41df-4235-ab30-02dfaff797dc,Stuttgart Kitchen,food_truck,DE,Stuttgart,2024-03-12,premium,active,
237814e4-695d-4473-ae71-c416a4537c61,Bella Hamburg Spa,beauty_salon,DE,Hamburg,2024-05-02,premium,active,
f51817e6-7983-4865-bd49-7fb02dc56857,Rolling Eats,food_truck,DE,Berlin,2023-03-02,premium,active,
e6df47f1-4b22-475d-ab56-93a2776408ae,Stuttgart Grill,food_truck,DE,Stuttgart,2023-09-13,premium,active,
57bc4fa9-af4f-4ced-b671-d54e1940027a,Vintage Shop,clothing_store,DE,Cologne,2023-06-06,premium,active,
4bacf378-765d-4ebe-8a43-2b97e6b542a1,Café Leipzig Café,cafe,DE,Leipzig,2024-03-04,premium,active,
d3e25735-70b6-4cb2-b9a5-120e719d432d,Munich Breads,bakery,DE,Munich,2023-02-13,free,active,
14c6bf02-15c8-4b85-8dba-07b4e2e0fd0d,Thread Shop,clothing_store,DE,Berlin,2024-03-18,premium,active,
c5cf8acd-7a6c-4818-89c8-380e77485ced,Bella Hamburg Spa,beauty_salon,DE,Hamburg,2023-11-02,free,active,
cb4429ac-3929-461d-99e7-31b840e952c0,Tech Cologne Solutions,electronics_repair,DE,Cologne,2022-11-04,free,active,
7a4cc669-2ddd-4699-8da9-5732983628d6,Green Berlin Market,market_stall,DE,Berlin,2023-06-07,free,active,
9c20caaf-3998-46bf-95f3-17fda65d70f5,Street Cologne Street Food,food_truck,DE,Cologne,2022-08-27,free,active,
1297691b-9fcd-42a0-b9eb-899072cf3e03,Corner Hamburg Brew,cafe,DE,Hamburg,2023-02-27,free,active,
e588b708-8ac8-4a0f-bfb6-2b94c48ea090,Core Gym,fitness_studio,DE,Frankfurt,2024-04-18,free,active,
f16c1b14-3247-48b3-8e79-d95dfacd9c88,Urban Café,cafe,DE,Leipzig,2022-06-22,free,active,
964b8ba0-ac16-46f8-ae36-d8c1eaf8003d,Café Frankfurt Coffee,cafe,DE,Frankfurt,2022-07-03,free,churned,2024-08-31
bf433d17-144a-4d88-b2ec-2bf6d7ec8a2f,Petal Cologne Garden,florist,DE,Cologne,2024-06-10,free,active,
