cost_id,year_month,cost_category,amount_eur,description
beb9fdb3-2796-4b70-beb1-28e22dc8b450,2024-01-01,cost_of_revenue,43624,Cost Of Revenue — Jan 2024
fd5088cf-163e-4a39-93cc-ac005bd34222,2024-01-01,sales_and_marketing,77386,Sales And Marketing — Jan 2024
74fca0d8-4ce8-451a-8fe8-cc5ef455453c,2024-01-01,research_development,113471,Research Development — Jan 2024
8fe45124-7394-4f6e-80a6-4d5341a40532,2024-01-01,general_administrative,40277,General Administrative — Jan 2024
c86d79d7-35d2-486c-bdf9-cb661b228992,2024-01-01,infrastructure,26769,Infrastructure — Jan 2024
4cea1100-4b82-4b6a-ad01-0d1910e77423,2024-01-01,cash_balance_eom,4978473,Cash balance end of Jan 2024
1d220f2e-ce8c-48e8-a794-8b8c40636618,2024-02-01,cost_of_revenue,47253,Cost Of Revenue — Feb 2024
4727cdef-f5a3-4ab4-a90b-9923ad7c02b8,2024-02-01,sales_and_marketing,82145,Sales And Marketing — Feb 2024
d9f92f74-bd6d-47c6-992e-ed7512c962b4,2024-02-01,research_development,117610,Research Development — Feb 2024
e39276a9-f0f6-496b-8121-61b4b6631739,2024-02-01,general_administrative,38707,General Administrative — Feb 2024
b6dedc4b-3227-4a04-9734-af9ff5bc9b76,2024-02-01,infrastructure,24509,Infrastructure — Feb 2024
bfd8ba49-03a2-491b-9e3c-3ca74b1a3dd3,2024-02-01,cash_balance_eom,4956249,Cash balance end of Feb 2024
1f14c230-c956-4a0e-9c8f-9bc0f8fcee64,2024-03-01,cost_of_revenue,46637,Cost Of Revenue — Mar 2024
42f4bda6-b123-4f3f-a08a-135a41b0ad69,2024-03-01,sales_and_marketing,78254,Sales And Marketing — Mar 2024
26e4ee0b-e7b9-45a1-bce9-5700d619df18,2024-03-01,research_development,128118,Research Development — Mar 2024
025848b0-a654-49a5-9cd3-512e5b181ccf,2024-03-01,general_administrative,39890,General Administrative — Mar 2024
5527d47a-f831-4f56-8cf1-cde682056f09,2024-03-01,infrastructure,27291,Infrastructure — Mar 2024
80b7e620-e3af-4bc3-8707-6bba04838676,2024-03-01,cash_balance_eom,4932059,Cash balance end of Mar 2024
0d390357-0042-4dbe-9d22-6dcd097343a3,2024-04-01,cost_of_revenue,49734,Cost Of Revenue — Apr 2024
0ed4b6cf-bf19-40d3-a988-0c7b975c4a0f,2024-04-01,sales_and_marketing,88281,Sales And Marketing — Apr 2024
