subscription_id,merchant_id,plan_sku,start_date,end_date,mrr_local,currency,cancellation_reason,previous_plan_sku
e5be2135-aebe-4442-9149-8f73d88d7a6a,b4b34a2f-af69-4e18-a2b3-36c836d894f5,SW-001,2023-12-29,,1900,EUR,,free
81f8fed7-97dd-45f9-880c-365431f844de,b4b34a2f-af69-4e18-a2b3-36c836d894f5,SW-002,2023-01-25,,900,EUR,,
1826b04b-e025-4a02-8519-bbc07b021d21,069f5527-8726-4970-8741-2ac8439e127a,SW-002,2023-04-20,2024-04-14,900,EUR,price,
46fdc13a-a05b-437c-b482-35aae0195271,069f5527-8726-4970-8741-2ac8439e127a,SW-005,2023-03-12,,999,EUR,,
d8e33ed5-5219-4381-8adb-79a0fbb62eb2,53c32892-0477-40d2-9675-4b1a64060c22,SW-001,2023-03-12,,1900,EUR,,
2a4c826f-ad88-437b-bb15-b6f66d7bacff,950087f9-ac19-488a-92e9-2506f2067712,SW-005,2024-05-15,,999,EUR,,
409bf634-0e0a-453a-b671-c85c8e565051,9e4ae8cb-41df-4235-ab30-02dfaff797dc,SW-001,2024-03-12,,1900,EUR,,
9e1f865c-363b-432e-a542-4b13e1a938c1,9e4ae8cb-41df-4235-ab30-02dfaff797dc,SW-005,2024-04-23,,999,EUR,,
e034bf41-b4f9-4bb8-9568-d5c82e8a0bfe,237814e4-695d-4473-ae71-c416a4537c61,SW-001,2024-05-09,,1900,EUR,,
c84db155-abb4-4e94-a0f0-028cda1f39f8,237814e4-695d-4473-ae71-c416a4537c61,SW-002,2024-06-22,,900,EUR,,
b675d038-362f-4c2b-bf17-56254ecb0408,f51817e6-7983-4865-bd49-7fb02dc56857,SW-001,2023-03-09,,1900,EUR,,
45024b55-0567-4eb8-ad84-c1b35fc14f49,e6df47f1-4b22-475d-ab56-93a2776408ae,SW-001,2023-09-16,,1900,EUR,,
5fe724e3-4b4f-4599-88ac-3aef1196bc9c,57bc4fa9-af4f-4ced-b671-d54e1940027a,SW-001,2023-06-06,,1900,EUR,,
ca219abe-10b3-4320-9de9-121dbfe534e6,4bacf378-765d-4ebe-8a43-2b97e6b542a1,SW-001,2024-03-09,,1900,EUR,,
c6c0bef1-b004-4e09-ace5-e5604626a51c,14c6bf02-15c8-4b85-8dba-07b4e2e0fd0d,SW-001,2024-03-23,,1900,EUR,,
10cd901f-665e-480f-b51d-8d3011a94438,14c6bf02-15c8-4b85-8dba-07b4e2e0fd0d,SW-002,2024-05-16,,900,EUR,,
21f6b667-a1fc-4d02-9a8f-3ead52a82b60,9c20caaf-3998-46bf-95f3-17fda65d70f5,SW-001,2023-09-30,,1900,EUR,,free
587de30b-8ef9-4576-badc-4dd706dea5c3,1297691b-9fcd-42a0-b9eb-899072cf3e03,SW-005,2023-05-15,,999,EUR,,
f989f5ff-0fed-423f-8a79-4e7a99b7bccf,e588b708-8ac8-4a0f-bfb6-2b94c48ea090,SW-005,2024-06-10,,999,EUR,,
0cfa4de7-e1cb-4ba8-bd5d-9ef6596a950e,746bf913-a94f-47b0-8776-3db65cf093d3,SW-001,2022-09-10,,1900,EUR,,
165216aa-c8d1-473c-a41c-1646d72ee19e,746bf913-a94f-47b0-8776-3db65cf093d3,SW-005,2022-11-04,,999,EUR,,
2b832752-632c-4575-a437-0253c5d297f6,0acb1e48-0e37-4892-a68e-05378b5dd033,SW-001,2022-09-13,,1900,EUR,,
ecd65440-159f-4356-8e3d-c25f9400d855,9038ef20-a3ee-4985-a975-00e284f2c6c3,SW-001,2023-10-12,,1900,EUR,,
66dab2f5-74a9-4345-a21d-b6b4be8e5324,79c95c3d-0af7-4904-9fad-66c50f69edd5,SW-001,2022-11-10,,1634,GBP,,
139b12e9-cacd-490a-925f-207b83c8f409,da034574-f5ca-4bf1-b02d-b9a02a67d442,SW-002,2022-12-26,2025-03-19,774,GBP,business_closed,
1a83749c-ce4d-4a82-9f76-698443e320d1,ec255619-dbdf-4676-926c-875cf47e9fad,SW-005,2022-10-03,,859,GBP,,
85bcd0e7-4f3e-4a97-9164-2d53eeb0e837,b8e330f6-1bc7-4839-b6dc-68b378e1eab1,SW-001,2023-03-26,,1634,GBP,,
6dfc0940-b732-461f-afed-41b53bc39b59,b8e330f6-1bc7-4839-b6dc-68b378e1eab1,SW-005,2023-04-12,,859,GBP,,
35a34004-59aa-400a-8dfa-62baa08902ad,a3b5ce04-b3a6-4b9b-8dec-52d9d371e81d,SW-002,2023-07-09,,774,GBP,,
459d9885-9e4d-4a69-8615-384dcb3fa0f0,1a926799-30bd-473f-977d-fcede22d8e2c,SW-005,2023-10-15,,859,GBP,,
cb6d82c8-d0b8-45b7-b71b-b896bfe92201,e2a1a26e-4930-40de-9308-db2d386bde80,SW-001,2022-09-20,,1634,GBP,,
7778f50b-fccd-486c-a0f2-e9c7bd720263,9cda7245-c4e8-41cc-868b-028ce911e2c4,SW-001,2024-05-24,,1634,GBP,,
6230f7cf-90ea-4cce-9408-66d6c5c00165,a71cc131-f8a2-495b-92c0-f4b7a4b3a713,SW-002,2023-07-17,,774,GBP,,
4bef6e50-bf68-44da-8026-5696fa728cd6,27eb70c1-a10c-485e-81ad-083e5b99412f,SW-005,2024-05-18,,859,GBP,,
4fed334d-bb19-4bf8-bf94-6a0c8afb20d4,81aa2703-acc9-43eb-abd5-2a15bd7b92e2,SW-001,2024-10-19,,1634,GBP,,free
5fc5bf3f-c63b-418c-8756-0b425ebb2eaf,626094e1-6563-4f80-b119-8b5920881fde,SW-002,2023-07-23,,774,GBP,,
ed5d4e79-7a64-4984-8dea-cfec490803c5,e466b852-21c6-49a8-9e32-6ed726283dc8,SW-001,2024-05-14,,1634,GBP,,
